zipcode,Year,flood_count,max_severity,median_dead,median_displaced,median_duration,median_area,zipcode_3area,flood_count_total_10,max_severity_avg_10,median_dead_avg_10,median_displaced_avg_10,median_duration_avg_10,median_area_avg_10,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
44904,1987,1,2.0,0.0,2100.0,1.0,11883.86,449,1.0,2.0,0.0,2100.0,1.0,11883.86,3.5,126.2,84.96,58.48
45042,1998,1,1.0,0.0,0.0,2.0,70592.46,450,1.0,1.0,0.0,0.0,2.0,70592.46,1.55,259.13,138.91,92.0
45064,2001,1,2.0,3.0,0.0,1.0,1713.61,450,2.0,1.5,1.5,0.0,1.5,36153.035,2.75,162.43,,102.75
45053,2015,1,1.0,2.0,0.0,2.0,161572.75,450,3.0,1.3333333333333333,2.0,0.0,2.0,70592.46,-8.64,201.08,173.88,104.07
45146,2020,1,1.5,8.0,30.0,12.0,126521.34,451,1.0,1.5,8.0,30.0,12.0,126521.34,17.38,153.61,,141.56
46121,2003,1,2.0,1.0,500.0,8.0,32128.23,461,1.0,2.0,1.0,500.0,8.0,32128.23,5.15,134.89,,111.61
46229,2003,1,2.0,3.0,1200.0,16.0,150549.91,462,1.0,2.0,3.0,1200.0,16.0,150549.91,-0.12,218.75,142.36,107.87
46390,2006,1,1.0,2.0,0.0,3.0,6787.66,463,1.0,1.0,2.0,0.0,3.0,6787.66,4.68,185.46,,125.71
47408,1999,1,1.0,0.0,0.0,6.0,18264.99,474,1.0,1.0,0.0,0.0,6.0,18264.99,2.0,188.54,144.1,99.0
47959,2008,1,1.5,0.0,150.0,6.0,118976.95,479,2.0,1.5,2.5,325.0,6.5,110619.905,-1.75,133.89,,
48025,2014,1,2.0,1.0,0.0,9.0,11462.27,480,2.0,1.5,0.5,50.0,5.0,7129.545,12.28,458.59,199.14,110.37
48430,1997,1,1.0,16.0,0.0,3.0,16278.89,484,2.0,1.5,8.0,80.0,3.0,9757.105,8.28,352.21,149.19,84.97
48806,2020,1,2.0,0.0,10000.0,2.0,6215.87,488,2.0,2.0,3.0,7000.0,5.0,30088.0,,162.79,,137.13
49031,2018,1,1.5,2.0,50.0,2.0,71930.31,490,1.0,1.5,2.0,50.0,2.0,71930.31,5.29,419.55,313.89,155.01
49269,2009,1,1.0,18.0,0.0,2.0,33319.22,492,1.0,1.0,18.0,0.0,2.0,33319.22,-10.18,163.24,163.24,95.79
49849,2003,1,1.0,0.0,1752.0,3.0,856.765,498,2.0,1.5,0.0,1076.0,2.0,2990.2425000000003,0.99,194.88,158.4,106.26
50056,2018,1,1.5,1.0,100.0,12.0,13708.59,500,2.0,1.75,1.0,370.0,6.5,10347.135,-9.34,136.81,,
50161,2013,1,1.0,0.0,400.0,9.0,123500.44,501,1.0,1.0,0.0,400.0,9.0,123500.44,2.51,119.47,,
50230,2010,1,1.0,1.0,1000.0,1.0,8257.4,502,1.0,1.0,1.0,1000.0,1.0,8257.4,18.92,122.1,,
50472,2004,1,1.0,1.0,0.0,4.0,15942.11,504,1.0,1.0,1.0,0.0,4.0,15942.11,1.46,103.73,,
50574,2014,1,2.0,0.0,600.0,34.0,418317.13,505,1.0,2.0,0.0,600.0,34.0,418317.13,-2.29,114.81,,
52033,2002,1,1.0,0.0,500.0,2.0,43981.36,520,1.0,1.0,0.0,500.0,2.0,43981.36,0.31,144.82,,111.5
52175,2016,1,1.5,1.0,0.0,2.0,17367.94,521,1.0,1.5,1.0,0.0,2.0,17367.94,7.11,131.96,,121.41
53103,1986,1,1.0,1.0,250.0,0.0,6562.47,531,1.0,1.0,1.0,250.0,0.0,6562.47,,100.0,79.99,47.4
53807,2001,1,2.0,1.0,4400.0,30.0,63376.98,538,1.0,2.0,1.0,4400.0,30.0,63376.98,7.81,126.48,,107.81
53922,2004,1,2.0,0.0,500.0,11.0,28979.14,539,1.0,2.0,0.0,500.0,11.0,28979.14,2.53,102.53,,
54646,2010,1,2.0,0.0,0.0,8.0,3873.19,546,1.0,2.0,0.0,0.0,8.0,3873.19,-3.94,198.44,,134.13
58042,2006,1,1.0,1.0,0.0,26.0,15349.57,580,1.0,1.0,1.0,0.0,26.0,15349.57,6.13,158.99,,146.27
58703,2011,1,2.0,0.0,16000.0,16.0,16000.97,587,1.0,2.0,0.0,16000.0,16.0,16000.97,8.51,348.77,281.42,190.23
59722,2018,1,1.0,0.0,195.0,7.0,55437.8,597,1.0,1.0,0.0,195.0,7.0,55437.8,11.97,195.51,,
60047,1998,1,2.0,2.0,600.0,2.0,54155.77,600,1.0,2.0,2.0,600.0,2.0,54155.77,2.08,321.88,120.52,89.47
60553,1997,1,1.0,0.0,700.0,4.0,30332.64,605,1.0,1.0,0.0,700.0,4.0,30332.64,19.97,138.17,,94.87
61241,2001,1,2.0,0.0,200.0,2.0,24.3252,612,1.0,2.0,0.0,200.0,2.0,24.3252,3.87,174.89,,103.87
61285,2004,1,1.0,1.0,150.0,4.0,117312.56,612,2.0,1.5,0.5,175.0,3.0,58668.4426,-6.88,93.12,,
61565,2008,1,1.0,0.0,0.0,7.0,313350.84,615,1.0,1.0,0.0,0.0,7.0,313350.84,-0.5,129.28,,
61611,1985,1,2.0,4.0,2400.0,5.0,26266.14,616,1.0,2.0,4.0,2400.0,5.0,26266.14,-1.83,83.32,77.6,49.19
63077,2019,1,1.5,2.0,0.0,41.0,429706.84,630,1.0,1.5,2.0,0.0,41.0,429706.84,2.24,204.69,,134.94
63366,1986,1,2.0,10.0,55000.0,17.0,107660.8,633,1.0,2.0,10.0,55000.0,17.0,107660.8,1.79,166.69,91.39,61.67
64075,1998,1,1.0,11.0,0.0,1.0,6064.27,640,1.0,1.0,11.0,0.0,1.0,6064.27,6.69,149.75,143.98,86.05
64150,2017,1,1.5,1.0,36.0,4.0,4765.56,641,1.0,1.5,1.0,36.0,4.0,4765.56,10.61,204.65,,142.17
64865,2007,1,1.5,26.0,2800.0,11.0,1216616.2,648,2.0,1.75,13.0,2650.0,8.5,624191.445,0.48,134.64,,122.29
67002,1999,1,1.0,4.0,50.0,7.0,263026.77,670,1.0,1.0,4.0,50.0,7.0,263026.77,2.52,162.09,133.97,97.73
68405,2003,1,1.0,1.0,0.0,3.0,41056.59,684,1.0,1.0,1.0,0.0,3.0,41056.59,-0.93,120.33,,109.14
69153,2002,1,1.0,1.0,0.0,2.0,712.688,691,1.0,1.0,1.0,0.0,2.0,712.688,3.96,123.06,,110.14
70056,2002,1,1.0,1.0,2500.0,3.0,31074.07,700,3.0,1.6666666666666667,0.0,2500.0,3.0,31074.07,4.32,250.43,179.35,109.17
70068,2005,1,2.0,1053.0,500000.0,21.0,50377.42,700,4.0,1.75,0.5,201250.0,3.5,36724.555,8.15,237.49,189.37,128.65
70115,1995,1,1.0,6.0,20000.0,6.0,19344.57,701,1.0,1.0,6.0,20000.0,6.0,19344.57,4.35,175.22,115.72,66.8
70560,2016,1,2.0,13.0,40000.0,12.0,19554.02,705,2.0,1.5,7.0,20008.5,7.5,40055.635,-0.99,219.97,,152.47
70582,2019,1,1.5,0.0,50.0,4.0,58048.15,705,3.0,1.5,1.0,50.0,4.0,58048.15,1.83,185.54,,175.11
70517,2021,1,1.5,95.0,0.0,0.0,39063.25,705,4.0,1.5,7.0,33.5,3.5,48555.7,5.51,237.94,,178.88
70714,1990,1,1.0,0.0,150.0,4.0,7561.74,707,1.0,1.0,0.0,150.0,4.0,7561.74,8.76,105.84,100.0,66.21
71301,2008,1,1.5,0.0,0.0,1.0,163438.25,713,3.0,1.1666666666666667,0.0,0.0,1.0,119197.31,-0.55,236.46,211.78,141.63
71483,2003,1,1.0,0.0,0.0,5.0,457677.64,714,1.0,1.0,0.0,0.0,5.0,457677.64,2.14,118.44,,114.74
71953,2010,1,2.0,20.0,0.0,0.0,12234.56,719,1.0,2.0,20.0,0.0,0.0,12234.56,-0.14,143.39,,133.28
72176,2001,1,1.0,3.0,100.0,8.0,45272.89,721,1.0,1.0,3.0,100.0,8.0,45272.89,0.44,106.04,,100.44
74048,1998,1,1.0,1.0,2000.0,1.0,50302.57,740,2.0,1.5,0.5,1160.0,1.0,30084.005,,100.0,,87.57
74301,2019,1,2.0,0.0,4000.0,7.0,250078.73,743,1.0,2.0,0.0,4000.0,7.0,250078.73,2.12,148.26,,138.36
75068,2006,1,1.0,1.0,0.0,7.0,16205.26,750,1.0,1.0,1.0,0.0,7.0,16205.26,1.96,175.79,,117.25
75652,1999,1,1.0,0.0,0.0,4.0,56744.18,756,1.0,1.0,0.0,0.0,4.0,56744.18,1.15,101.15,,96.7
76001,2004,1,2.0,3.0,0.0,3.0,21194.51,760,3.0,1.3333333333333333,3.0,0.0,2.0,14207.43,0.41,127.14,137.43,111.3
76053,2007,1,1.5,8.0,5000.0,27.0,507778.21,760,4.0,1.375,3.0,50.0,2.5,17700.97,3.1,155.77,176.64,124.7
76501,2004,1,1.0,0.0,200.0,5.0,114505.27,765,1.0,1.0,0.0,200.0,5.0,114505.27,9.79,163.57,202.4,125.57
77074,2009,1,1.0,0.0,20000.0,10.0,6812.65,770,3.0,1.0,1.0,0.0,10.0,6812.65,-4.44,200.56,225.9,139.73
77302,1994,1,1.0,19.0,10000.0,6.0,72987.24,773,1.0,1.0,19.0,10000.0,6.0,72987.24,2.64,126.38,119.16,78.99
77320,1998,1,1.0,0.0,100.0,2.0,15178.46,773,2.0,1.0,9.5,5050.0,4.0,44082.850000000006,6.79,111.54,122.1,91.98
77320,2016,1,1.5,11.0,0.0,29.0,160371.39,773,3.0,1.1666666666666667,11.0,100.0,6.0,72987.24,4.09,204.03,223.36,168.26
77386,2017,1,2.0,0.0,0.0,1.0,336227.02,773,4.0,1.375,5.5,50.0,4.0,116679.315,0.93,184.92,254.35,174.45
77471,2012,1,1.5,0.0,100.0,3.0,24530.67,774,4.0,1.1666666666666667,0.5,100.0,13.0,24530.67,2.53,187.31,190.04,143.0
77545,2019,1,2.0,6.0,0.0,3.0,33023.95,775,3.0,1.6666666666666667,2.0,0.0,3.0,33023.95,27.92,198.88,,
77904,2010,1,1.0,8.0,0.0,4.0,15031.48,779,2.0,1.0,4.5,100.0,2.5,16112.119999999999,2.0,160.53,183.37,141.2
78041,2003,1,2.0,0.0,50.0,12.0,62960.79,780,2.0,2.0,4.5,25.0,6.0,31980.125,3.86,160.39,145.69,112.99
78612,2004,1,1.0,3.0,600.0,14.0,107063.04,786,3.0,1.0,3.0,600.0,11.0,107063.04,0.3,124.92,,108.0
